WKT,municipio_colonia
"MULTIPOLYGON (((-110.989193030882 29.0786389704402,-110.989143971489 29.0786454132924,-110.987562287368 29.0786210495531,-110.987509626426 29.0786187395247,-110.987499436166 29.0785870086544,-110.987402199602 29.0772222344716,-110.988308595692 29.0770716540906,-110.989157017542 29.0770296848696,-110.98920024297 29.0764970898422,-110.989282037371 29.0763703157395,-110.989427484944 29.0760434810601,-110.989467185258 29.0759134338834,-110.99014987797 29.0761101784451,-110.990188200758 29.0760478467702,-110.991408731869 29.0760730320866,-110.991471089425 29.077049573918,-110.991042361171 29.0770458946822,-110.991044418088 29.0771100038996,-110.991073002842 29.0772344130574,-110.991179604672 29.077698578459,-110.991224561679 29.0778982082955,-110.991254981643 29.0780334355793,-110.991375184516 29.0785567076026,-110.991508248486 29.0786284914254,-110.991421533689 29.0786288566961,-110.990794428126 29.0786314677027,-110.99075936812 29.0786316476816,-110.989908504561 29.0786357173147,-110.989235901442 29.0786380571204,-110.989193030882 29.0786389704402)))","Hermosillo, Punta de Lago Residencial"
"MULTIPOLYGON (((-111.015886269831 29.0951615260292,-111.0152319048 29.0951325964613,-111.01524322202 29.0949575706648,-111.01529753792 29.0941176021642,-111.015317287823 29.0934572088861,-111.015331880756 29.0929692942573,-111.01457267197 29.0930564964509,-111.014503129628 29.0924414877252,-111.014565320139 29.0922366020037,-111.014507378565 29.0918654315125,-111.014488531923 29.0916328118478,-111.014437848449 29.091412907568,-111.014337956357 29.0911688565333,-111.014293069009 29.0909934417578,-111.014255342458 29.090275877981,-111.014195247174 29.0900114841725,-111.014078168245 29.0890554352685,-111.014255532842 29.0880824023078,-111.014277710185 29.0880420744658,-111.01432357891 29.0879740692728,-111.015160086864 29.0879505595467,-111.015905286524 29.087911449338,-111.016587225006 29.0878697145044,-111.01743287 29.0878081202298,-111.018142183764 29.0877544729477,-111.018366109756 29.0877398224468,-111.018317970549 29.0882973447867,-111.018283507906 29.0889603470451,-111.018242093012 29.0891760964388,-111.018210649478 29.0894263938258,-111.0181800823 29.0897516364584,-111.018032232494 29.0904258152965,-111.018193395428 29.0904330255884,-111.018422430594 29.0904214771724,-111.018476322868 29.0904199577063,-111.018477741825 29.0902629691472,-111.018852746396 29.090253860368,-111.018857831479 29.0903612723138,-111.019114629959 29.0903518739341,-111.019382424087 29.0902569624755,-111.020255809057 29.0902409438952,-111.020273548035 29.0902956009796,-111.020370392862 29.0903191318944,-111.020371158922 29.0906053779486,-111.020378918543 29.0908435308817,-111.020331799653 29.0918727535719,-111.020322448642 29.092071006548,-111.020301717025 29.0926052230214,-111.020268779374 29.0931762067893,-111.020313294402 29.0934020068156,-111.020337667554 29.0934948961103,-111.020343569325 29.0936409567227,-111.020327321916 29.0937926029719,-111.020041971614 29.0941939668547,-111.019990416551 29.0951365160431,-111.019900070948 29.0952269814558,-111.019890544793 29.0953810571563,-111.018803878039 29.095309298953,-111.016669492552 29.0951904036856,-111.015886269831 29.0951615260292)))","Hermosillo, Quinta Emilia"
"MULTIPOLYGON (((-111.02238808075 29.0954932824314,-111.021044624207 29.0954431752062,-111.019890544793 29.0953810571563,-111.019900070948 29.0952269814558,-111.019990416551 29.0951365160431,-111.020041971614 29.0941939668547,-111.020327321916 29.0937926029719,-111.020343569325 29.0936409567227,-111.020337667554 29.0934948961103,-111.020313294402 29.0934020068156,-111.020268779374 29.0931762067893,-111.020301717025 29.0926052230214,-111.020322448642 29.092071006548,-111.020331799653 29.0918727535719,-111.020378918543 29.0908435308817,-111.021872746013 29.0907421040185,-111.022261053071 29.0907267004346,-111.022269995796 29.0907891673185,-111.022381936975 29.0933496453566,-111.022459897786 29.0933486774208,-111.022816022296 29.0933367173161,-111.022781412502 29.092895160387,-111.023463182141 29.0928194086024,-111.023556007457 29.0928054163086,-111.025511854394 29.0926248145995,-111.025513533453 29.0926610532869,-111.025511080792 29.0927611443976,-111.025532710374 29.0931191958463,-111.025538938011 29.0931955772099,-111.025564141306 29.093652049578,-111.025759604473 29.0936360075947,-111.027035088659 29.0935659197519,-111.02727280249 29.0935432371982,-111.027317957387 29.0947059180955,-111.026059495888 29.0949999837791,-111.026124125671 29.0951669663036,-111.024737607855 29.0954865659391,-111.023822019309 29.0955500782176,-111.02238808075 29.0954932824314)))","Hermosillo, Quinta Emilia"
"MULTIPOLYGON (((-110.98060300411 29.0063255132053,-110.980850667724 29.0062277938489,-110.981252671891 29.006369216582,-110.981574248114 29.0066402118774,-110.981755129374 29.0068287248942,-110.981902509098 29.007017232338,-110.982083397076 29.0071704031263,-110.982284338318 29.0076121980609,-110.982351311158 29.0078065842812,-110.982418283507 29.0080068615762,-110.982585746627 29.0083190659069,-110.982779986372 29.0087962011068,-110.98300774677 29.0091732052395,-110.983295813062 29.0095678870639,-110.983409655993 29.0099978888933,-110.983195094433 29.0108519477109,-110.981778674891 29.0106190370581,-110.98171542971 29.0109432386108,-110.981604500509 29.0115100460645,-110.979975677088 29.0113149679052,-110.979764943255 29.0113458617271,-110.979710851453 29.0112511904833,-110.980142082157 29.0089672602228,-110.98028681682 29.0081639474956,-110.980290089635 29.008122959008,-110.980291379492 29.0080803606951,-110.980313883957 29.0078987211883,-110.980342183347 29.0077175602558,-110.980366881668 29.0076773244063,-110.980378389626 29.0076112253744,-110.98060300411 29.0063255132053)))","Hermosillo, Quinta Esmeralda"
"MULTIPOLYGON (((-110.947628194051 29.1344207658528,-110.947449961032 29.1340921839257,-110.947220107396 29.1338354867589,-110.947076501012 29.1335746163823,-110.947040712843 29.1332906513273,-110.947055165921 29.1331350095599,-110.947081629995 29.1329162727322,-110.947203930871 29.1326765401759,-110.947378943711 29.1324178991153,-110.947537021272 29.1322930014733,-110.947910872556 29.1319038881366,-110.948316241948 29.1322264347257,-110.948833719474 29.1325365022565,-110.949878016452 29.1328357389243,-110.949838751625 29.1328664920047,-110.949571254559 29.1337423587555,-110.949686231283 29.1339996353507,-110.949718062676 29.1339959506207,-110.949824925855 29.1343389225142,-110.949865224766 29.1345844465256,-110.949546101071 29.1348718443549,-110.94952006706 29.1353767766886,-110.948623370911 29.1356262022315,-110.948006977356 29.1353907075452,-110.947628194051 29.1344207658528)))","Hermosillo, Quinta La Paloma"
"MULTIPOLYGON (((-110.995375660063 29.0490013705491,-110.996931008539 29.0489896307758,-110.996931003791 29.0491430612545,-110.996950513523 29.04956047704,-110.996938375286 29.0497734018874,-110.996879952302 29.0499712480713,-110.99682152907 29.0501690932603,-110.996635409871 29.0505701619061,-110.996530940584 29.0508018536164,-110.99634253342 29.0508152548142,-110.995502739784 29.0508940575652,-110.995232206298 29.0509184150027,-110.995171602506 29.0501678462507,-110.995161070363 29.0500276729378,-110.995122638918 29.0496131673525,-110.995109508781 29.049183710522,-110.995392335602 29.0491669058538,-110.995375660063 29.0490013705491)))","Hermosillo, Quinta Real"
"MULTIPOLYGON (((-110.974500150268 29.0135300525586,-110.974767411157 29.0121842287699,-110.974843580324 29.0117800206192,-110.974896788618 29.0114792762491,-110.972295161203 29.0114473422061,-110.970538785204 29.0111847256495,-110.970573997436 29.0107389870681,-110.971020032741 29.0107559838991,-110.971322055603 29.0095581758478,-110.971834486832 29.0083221905447,-110.975745161193 29.0067888926443,-110.97585124305 29.0062101712042,-110.976529546071 29.0062496683617,-110.977188142524 29.0060534384162,-110.976248252374 29.0050711081978,-110.976273104202 29.0038273239802,-110.980926429267 29.0045965128786,-110.980624785121 29.0062346108924,-110.98060300411 29.0063255132053,-110.980378389626 29.0076112253744,-110.980366881668 29.0076773244063,-110.980342183347 29.0077175602558,-110.980313883957 29.0078987211883,-110.980291379492 29.0080803606951,-110.980290089635 29.008122959008,-110.98028681682 29.0081639474956,-110.980142082157 29.0089672602228,-110.979710851453 29.0112511904833,-110.979764943255 29.0113458617271,-110.979975677088 29.0113149679052,-110.981604500509 29.0115100460645,-110.981641259096 29.0130185543782,-110.979574629649 29.0129888722156,-110.979363934365 29.0137835362081,-110.979246527486 29.0141596489945,-110.979184240534 29.0141919303958,-110.978545947138 29.0140980734058,-110.977959055303 29.0140122718721,-110.977789287727 29.0139881656525,-110.977662318919 29.013969334014,-110.977610960677 29.0139643091722,-110.977552905582 29.013974844619,-110.977492484115 29.0139725909917,-110.974500150268 29.0135300525586)))","Hermosillo, Quintas del Sol Residencial"
"MULTIPOLYGON (((-110.989532442991 29.0810931620364,-110.989535754737 29.0808321275211,-110.990065605572 29.0808250666367,-110.990167154994 29.0804291822406,-110.990167224316 29.080003185081,-110.990149432075 29.0792462470806,-110.98968290116 29.0792604629172,-110.989198821777 29.0792752178742,-110.989189647838 29.0788662951792,-110.989193030882 29.0786389704402,-110.989235901442 29.0786380571204,-110.989908504561 29.0786357173147,-110.99075936812 29.0786316476816,-110.990794428126 29.0786314677027,-110.991421533689 29.0786288566961,-110.991508248486 29.0786284914254,-110.991544082528 29.0785942806009,-110.991557446022 29.0788136771884,-110.991581030245 29.0792026109296,-110.991630966 29.0800261406683,-110.991706081347 29.0808098444501,-110.99172241776 29.0810457141342,-110.991673078669 29.0810456756998,-110.990111137285 29.0810802689799,-110.990058060813 29.0810851603449,-110.990001405464 29.081089445661,-110.989586764211 29.0810938003591,-110.989532442991 29.0810931620364)))","Hermosillo, Quintas Galicia"
"MULTIPOLYGON (((-111.015937909163 29.1003413086999,-111.015933194042 29.1001930132517,-111.015923991954 29.0999087455044,-111.015918123281 29.0995159444544,-111.015923921944 29.0994547287436,-111.015923586082 29.0993473709158,-111.015920541024 29.0983739252221,-111.015917909865 29.0981273422785,-111.015886269831 29.0951615260292,-111.016669492552 29.0951904036856,-111.018803878039 29.095309298953,-111.019890544793 29.0953810571563,-111.021044624207 29.0954431752062,-111.02238808075 29.0954932824314,-111.022521663948 29.0981065102133,-111.022630621932 29.100146832965,-111.021667482124 29.1002915653281,-111.020533792996 29.1004533480641,-111.019400099098 29.1006151256972,-111.018792405406 29.1004272816708,-111.018457496387 29.1003558343358,-111.018231990136 29.1003513694424,-111.017757158701 29.1003522649931,-111.017046409831 29.1003535997838,-111.015937909163 29.1003413086999)))","Hermosillo, Rancho Bonito"
"MULTIPOLYGON (((-110.940905935363 29.0084829470504,-110.940770868153 29.0084813803064,-110.940770009472 29.0083223101112,-110.940752310626 29.0050416096657,-110.940749839124 29.0045835065085,-110.940729717113 29.0041960328714,-110.940690759089 29.0037956977368,-110.943383785977 29.003830256209,-110.943383990844 29.0033626120202,-110.943396250481 29.0029656176712,-110.944261539653 29.0029909258427,-110.945890436788 29.0030598924712,-110.945883699667 29.003459466814,-110.945869801764 29.0038926153696,-110.948041229061 29.0039335774829,-110.948020770661 29.0043760050491,-110.948001772366 29.0047868554557,-110.947982778945 29.0051977179414,-110.947963768925 29.0056088117391,-110.947944336213 29.0060289201994,-110.947925017251 29.0064466768727,-110.947849320102 29.0080836941408,-110.945742250119 29.0080388767478,-110.943543922852 29.0079789559954,-110.943536987165 29.0085134399309,-110.940905935363 29.0084829470504)))","Hermosillo, Rancho Grande"
"MULTIPOLYGON (((-110.984364276169 29.0911161196731,-110.984253213016 29.090503482094,-110.98408123715 29.089554810995,-110.983715814204 29.0895354611579,-110.983447538567 29.0895233479183,-110.983203550487 29.0894694669996,-110.982749130053 29.0893352280666,-110.982991554018 29.0888008414407,-110.98295205438 29.0885372232766,-110.982866420278 29.0879656951856,-110.983030963362 29.0879212847424,-110.983045543409 29.0874541782618,-110.98308443008 29.0862082974417,-110.983013568794 29.0858812625453,-110.982919035439 29.0857618597567,-110.982509030214 29.0855803894637,-110.982402724419 29.0848708572238,-110.983514242365 29.0852271417831,-110.983699525813 29.0852760475563,-110.984186430292 29.0853320535388,-110.986058301254 29.0853484012207,-110.986961395408 29.0863431475067,-110.986837670325 29.0863431795823,-110.984508859448 29.0863660623467,-110.983522585086 29.0863836251235,-110.983688598294 29.0866532679453,-110.98369865073 29.0867261991788,-110.983708703243 29.0867991313028,-110.983732790261 29.087034497174,-110.984523758133 29.0870440645047,-110.987474064997 29.0870797104725,-110.987628275445 29.0870780899621,-110.987814845164 29.0872836988619,-110.988292557903 29.0878103524519,-110.989329409156 29.0889558056209,-110.991490368915 29.0913803892969,-110.991554619394 29.0914524915821,-110.991474738301 29.0914935602035,-110.991252660508 29.0914057659693,-110.99108609167 29.0914740324818,-110.991141600377 29.0916203358232,-110.990875105956 29.0915422915782,-110.99086398534 29.0917275991394,-110.990963665976 29.0918781090647,-110.991219275593 29.0922640542392,-110.986533449868 29.0908267337573,-110.986291412078 29.0911751024353,-110.985932871566 29.0910972293273,-110.985863691199 29.0912949830711,-110.985359326655 29.0911701943198,-110.984434968748 29.0911199614818,-110.984364276169 29.0911161196731)))","Hermosillo, Raquet Club"
"MULTIPOLYGON (((-110.999343302839 29.0486426489057,-110.998563265735 29.0486675178481,-110.997675451681 29.0487098179609,-110.996979815404 29.0487175929259,-110.996979859779 29.0484870115803,-110.99697983585 29.0482883430165,-110.996979802888 29.0480285210783,-110.998543096135 29.0479494576608,-110.998514857099 29.0472434986458,-110.998518546379 29.0470332483227,-110.99852292596 29.0467836181627,-110.998514857976 29.0463237387806,-110.998506789707 29.0458557896482,-110.998474517555 29.0453394336769,-110.99846241545 29.0448674495844,-110.998450312621 29.0444277409029,-110.998407266776 29.0442172820728,-110.998401904133 29.0437258194775,-110.998220006127 29.0432293776556,-110.999277526473 29.0427875434855,-110.99971905948 29.0426002542261,-111.000281474034 29.0423983115383,-111.001255319024 29.0420076889386,-111.001309672464 29.0421086761971,-111.001487943025 29.0424389607315,-111.001707369758 29.0428510455166,-111.001958316276 29.0432815412693,-111.00100874002 29.0436575683962,-111.001256069469 29.0443627174217,-111.001507956835 29.0448266317478,-111.001686587324 29.0452640967781,-111.001864179951 29.0457558868517,-111.002006457073 29.0462162282563,-111.002037302928 29.0462860037456,-111.001905126282 29.0467111207362,-111.001688141384 29.0471858347855,-111.001617997402 29.0472296708158,-111.00127982292 29.0477426734287,-111.001218975451 29.0478349765347,-111.000909848716 29.0483561030916,-111.000628617469 29.04881289309,-111.000187975013 29.0494581852026,-110.999726077077 29.0488571140236,-110.999640655851 29.0486437790827,-110.999343302839 29.0486426489057)))","Hermosillo, Real de Minas"
"MULTIPOLYGON (((-111.018242093012 29.0891760964388,-111.01830160043 29.0891745387622,-111.018326898438 29.0891738805882,-111.018950332818 29.0891431077511,-111.019054405498 29.0891389646204,-111.019081959409 29.0891379083442,-111.019109513321 29.0891368520634,-111.019074655959 29.0882751691731,-111.018904321802 29.0882862756807,-111.018368489443 29.0882957477004,-111.018347074765 29.0882964236239,-111.018317970549 29.0882973447867,-111.018366109756 29.0877398224468,-111.02222315718 29.0876188790198,-111.022202125229 29.0876849669929,-111.022099998254 29.0896016667481,-111.022209255296 29.0903648723092,-111.022261053071 29.0907267004346,-111.021872746013 29.0907421040185,-111.020378918543 29.0908435308817,-111.020371158922 29.0906053779486,-111.020370392862 29.0903191318944,-111.020273548035 29.0902956009796,-111.020255809057 29.0902409438952,-111.019382424087 29.0902569624755,-111.019114629959 29.0903518739341,-111.018857831479 29.0903612723138,-111.018852746396 29.090253860368,-111.018477741825 29.0902629691472,-111.018476322868 29.0904199577063,-111.018422430594 29.0904214771724,-111.018193395428 29.0904330255884,-111.018032232494 29.0904258152965,-111.0181800823 29.0897516364584,-111.018210649478 29.0894263938258,-111.018242093012 29.0891760964388)))","Hermosillo, Real de Quiroga"
"MULTIPOLYGON (((-111.02222315718 29.0876188790198,-111.022244190071 29.0875527900779,-111.022286253799 29.0874206131761,-111.022570939972 29.0874218935755,-111.025009440072 29.0868707659643,-111.025148019852 29.0869628560081,-111.025170359434 29.0870403014868,-111.025320955485 29.0896072463196,-111.024261304315 29.0896960730112,-111.024234441328 29.0901596391212,-111.02229701436 29.0903496998316,-111.022209255296 29.0903648723092,-111.022099998254 29.0896016667481,-111.022202125229 29.0876849669929,-111.02222315718 29.0876188790198)))","Hermosillo, Real de Quiroga Seccion Madrigal"
"MULTIPOLYGON (((-111.045612011794 29.0849608269702,-111.045599545595 29.0848604390079,-111.045590818307 29.0847599539836,-111.045580623238 29.0846762130063,-111.045485836663 29.0838236495215,-111.045468585657 29.083735609888,-111.045421046651 29.0833861180618,-111.045420173716 29.0833536055956,-111.045414349112 29.0832198727386,-111.045376252055 29.0832169750487,-111.045370223031 29.0831596894375,-111.045360199932 29.0829669128561,-111.045358518361 29.0829094430415,-111.045303144913 29.0826946757391,-111.045339583521 29.0826946636587,-111.045327094434 29.0824098676666,-111.045147750593 29.0808618068575,-111.044968268082 29.0808156259288,-111.046033470945 29.0807758854597,-111.046498834145 29.0807663492998,-111.050377823521 29.0807102211695,-111.05063830145 29.081295623227,-111.050936488304 29.0828072178202,-111.050816376478 29.0833546438729,-111.050450856094 29.0834608328237,-111.049571000219 29.0840615737167,-111.049452038975 29.0841686044658,-111.049277388541 29.0842536466768,-111.048502124638 29.0845447973883,-111.046862917484 29.0845370171094,-111.046597964268 29.0846458316594,-111.04633767476 29.0848577147312,-111.046143225663 29.0851315139786,-111.046056093927 29.0851316127026,-111.045850516883 29.0850581184278,-111.04578020045 29.0850327977412,-111.045734605057 29.0850109791889,-111.045612011794 29.0849608269702)))","Hermosillo, Real de Sevilla"
"MULTIPOLYGON (((-110.998736066822 29.0684518794668,-110.997819725624 29.0686245136613,-110.997234593365 29.06873313656,-110.997089020596 29.0673189874548,-110.99740950404 29.0673281434344,-110.997392711915 29.0672163151526,-110.99751071821 29.0671390484037,-110.99857585589 29.0670186942219,-110.99888125409 29.0668866783846,-110.999488957184 29.0665306215322,-110.999534478936 29.0665069358376,-110.999601215179 29.0664681076753,-110.999890700734 29.0663046384202,-110.99994196877 29.0662762927858,-111.000103261346 29.0661945842321,-111.000520369649 29.0659479226276,-111.000553378868 29.065935876157,-111.001456470225 29.0656485017617,-111.001486597987 29.0656396793333,-111.001717213977 29.065579806097,-111.001754579066 29.0657755862959,-111.002142731651 29.0657215561812,-111.002225939731 29.0657107100338,-111.002721664822 29.0656428358397,-111.002798784681 29.065632375354,-111.003042644194 29.0655977665778,-111.003091823173 29.0655895310972,-111.003873330127 29.0657107116132,-111.003453065088 29.0657559062024,-111.002879936777 29.0658204683336,-111.002258416854 29.0659253970007,-111.001648775814 29.0660963777297,-111.000705970938 29.066516765858,-110.999400488287 29.0675540153106,-110.999471214169 29.0676339591551,-110.999091197341 29.0679262410256,-110.998639196994 29.0680072526032,-110.998736066822 29.0684518794668)))","Hermosillo, Real de Toledo"
"MULTIPOLYGON (((-111.000887411206 29.1326479608789,-111.000711233127 29.1320761003207,-111.000265319775 29.1309244121413,-111.000347763559 29.1309159032687,-111.003550713057 29.1305343870515,-111.003606016983 29.1305281858185,-111.003777138184 29.1316570210576,-111.003879195403 29.1324016630837,-111.003887004836 29.1324642127169,-111.003902601522 29.1325891313619,-111.003844922729 29.1325910854555,-111.002758007904 29.1327487031914,-111.002624890861 29.1327659536841,-111.002477208756 29.1327808064629,-111.001557019023 29.1327743687888,-111.001637850195 29.1326280366166,-111.001367010705 29.1326214715382,-111.000887411206 29.1326479608789)))","Hermosillo, Real del Cardo"
"MULTIPOLYGON (((-111.00427010613 29.0509488554224,-111.004371493323 29.0509239686338,-111.004642562165 29.0508558279176,-111.00791489657 29.0498517648556,-111.008093518446 29.049805765755,-111.009157491245 29.0495234878951,-111.010078701366 29.0492838885249,-111.010695909589 29.0491125624253,-111.011464959425 29.048894502874,-111.011598940049 29.0490165694795,-111.011936399074 29.0495266523728,-111.010329561748 29.052265710899,-111.010364894041 29.0529308395019,-111.010391305082 29.0530338608634,-111.01124271132 29.0529110540868,-111.011628504643 29.0528642637623,-111.011647719901 29.0529127926272,-111.011677735424 29.0530717170755,-111.012478710431 29.0529711236903,-111.012572045553 29.0529624773575,-111.013056680769 29.0552878469438,-111.012856047422 29.0553104834629,-111.01277924319 29.0553213742585,-111.010560685081 29.0556996875762,-111.010521414826 29.0555427952435,-111.010514530327 29.0555063515257,-111.010507965568 29.0554635298896,-111.010134665424 29.0530113036022,-111.010131324077 29.0529917135519,-111.009971079173 29.053032670781,-111.009300700231 29.0532102707422,-111.009257386489 29.0532209420318,-111.009194862513 29.0532363473329,-111.009119395085 29.053257382468,-111.007284185661 29.0537452864042,-111.007133230454 29.053782858473,-111.007135248268 29.0538094410388,-111.00727652807 29.0556859967742,-111.006708552261 29.0557809544885,-111.006650314858 29.0557906979787,-111.006434465409 29.0558268423994,-111.005266314154 29.056022071437,-111.004904804856 29.0560933061908,-111.004711928508 29.0551304672605,-111.00464607773 29.0542291772842,-111.004610117608 29.0537235918724,-111.004511826645 29.0526642220145,-111.00427010613 29.0509488554224)))","Hermosillo, Real del Carmen Residencial"
"MULTIPOLYGON (((-110.971056309494 29.0783704259412,-110.970971848656 29.0778677530851,-110.971056538997 29.0778701670672,-110.972129423024 29.0779007266671,-110.972168933079 29.0780914673399,-110.972185482695 29.0781422896096,-110.972299808903 29.0786336366141,-110.972075999282 29.0786235777647,-110.971299132991 29.0784307115073,-110.971056309494 29.0783704259412)))","Hermosillo, Real del Centenario"
"MULTIPOLYGON (((-111.002477208756 29.1327808064629,-111.002624890861 29.1327659536841,-111.002758007904 29.1327487031914,-111.003844922729 29.1325910854555,-111.003902601522 29.1325891313619,-111.003930226013 29.1328103759031,-111.004006764154 29.1332078901507,-111.004089680948 29.1336389969077,-111.004121573223 29.1338293560285,-111.004057435314 29.1338393466582,-111.002802297273 29.134002030258,-111.002701788072 29.1340150587289,-111.002513371498 29.1329811604533,-111.002477208756 29.1327808064629)))","Hermosillo, Real del Cobre"
"MULTIPOLYGON (((-111.03830967752 29.0887361292103,-111.03800470677 29.0887361315588,-111.036740023284 29.0887161149515,-111.03662649963 29.0885481000349,-111.03659909537 29.0883793980364,-111.037105062626 29.0871717574679,-111.037209998631 29.0866468138166,-111.037446645658 29.0866713547725,-111.037495541422 29.0866762314758,-111.037466073963 29.0868661407936,-111.038459963374 29.0868793093528,-111.038814920102 29.0868743158852,-111.03884229026 29.0864593023637,-111.038869161038 29.0856048618732,-111.03889672777 29.0851303874609,-111.039095287666 29.0851908256153,-111.040740559853 29.085897044533,-111.041318823204 29.0861572382192,-111.041756118246 29.0863403570179,-111.041737014537 29.0863776997796,-111.041505375045 29.0869071654588,-111.041364654744 29.0871940371209,-111.041136189028 29.0877614877022,-111.041060185149 29.0879696144086,-111.041023798554 29.0881049355082,-111.040931995012 29.0882174985543,-111.040425738729 29.0882512926129,-111.040420401012 29.0883826493592,-111.040517444546 29.0884891234529,-111.04057168363 29.0885851575993,-111.040624000542 29.088802686123,-111.040241873609 29.0888309100841,-111.039657435138 29.088831316076,-111.038822598969 29.0888286507516,-111.038761217615 29.0887693631313,-111.038345842663 29.0887618495733,-111.03830967752 29.0887361292103)))","Hermosillo, Real del Llano"
"MULTIPOLYGON (((-111.01432357891 29.0879740692728,-111.014324650156 29.0878057730001,-111.014132732499 29.0878098423998,-111.013980646099 29.0878130667613,-111.013172147281 29.0878495975347,-111.011831331305 29.0879024949949,-111.011826915836 29.0878252663187,-111.01182379651 29.0875563920651,-111.011833623474 29.0870447489878,-111.011831266573 29.0868565419891,-111.012659942487 29.0868919250132,-111.013212299148 29.0869048181614,-111.013348017393 29.0868984842552,-111.01505952171 29.0868228600429,-111.015314629987 29.086797192307,-111.015160086864 29.0879505595467,-111.01432357891 29.0879740692728)))","Hermosillo, Real del Montejo"
"MULTIPOLYGON (((-111.017290012882 29.1687228904791,-111.0172822677 29.1686692966685,-111.01710287462 29.1674279960743,-111.017081133926 29.1672775447115,-111.017716984534 29.1671916693734,-111.019135180675 29.1670359216903,-111.021081544074 29.1676725896874,-111.021108299791 29.1676824888854,-111.021823459719 29.167923114858,-111.022056721065 29.1679631619997,-111.023643857801 29.1679385020497,-111.025925944678 29.1679706043967,-111.025746098847 29.1698649607051,-111.020909956455 29.1705686577032,-111.020489007173 29.1706283189304,-111.018661599057 29.1708504096397,-111.017614409542 29.1709801899458,-111.017290012882 29.1687228904791)))","Hermosillo, Real del Valle"
"MULTIPOLYGON (((-111.015191675124 29.1646158106028,-111.016555112221 29.1644259223848,-111.01629488348 29.1631513277035,-111.021228113914 29.1625999567091,-111.021482202853 29.1631802111664,-111.021535430642 29.1633902013412,-111.021948823281 29.1651956422474,-111.022088493985 29.1658056205211,-111.022093699573 29.1658393825358,-111.021754410724 29.1659925059425,-111.021459645458 29.1663604551086,-111.021356642006 29.166700801736,-111.021108299791 29.1676824888854,-111.021081544074 29.1676725896874,-111.019135180675 29.1670359216903,-111.017716984534 29.1671916693734,-111.017081133926 29.1672775447115,-111.01710287462 29.1674279960743,-111.0172822677 29.1686692966685,-111.017290012882 29.1687228904791,-111.01699079624 29.168707569289,-111.015821221682 29.1688580758751,-111.015715227318 29.1688711896442,-111.015690182675 29.1686684280489,-111.015650694678 29.1683487277413,-111.015542946643 29.1674921829117,-111.015191675124 29.1646158106028)))","Hermosillo, Real del Valle"
"MULTIPOLYGON (((-110.975731426745 29.1157378807736,-110.974915098173 29.1153128637745,-110.973757131965 29.1147099586996,-110.973017337727 29.1143247706804,-110.972895371729 29.114253187772,-110.972841680833 29.1139293376597,-110.973909638541 29.1139184768075,-110.974327031442 29.1139142302552,-110.974897932376 29.1139084192175,-110.97592548801 29.1138979545104,-110.976933586777 29.1138876794146,-110.977921353793 29.1138776044533,-110.97855123235 29.1138853936503,-110.978927397045 29.1138829733085,-110.980108873578 29.1138753645974,-110.980983013491 29.1138697286036,-110.981274724361 29.1157097414537,-110.980141679555 29.1157146540992,-110.979948232617 29.1157154920059,-110.979944267406 29.1155631940829,-110.980133783922 29.1155602187527,-110.980117068185 29.1152332766637,-110.978545693442 29.115185506009,-110.978543410011 29.1157215678166,-110.97692758545 29.1157309490798,-110.975947311676 29.1157366308736,-110.975731426745 29.1157378807736)))","Hermosillo, Reforma Norte"
"MULTIPOLYGON (((-111.026236234327 29.0449934538586,-111.028484010349 29.0430043376317,-111.030399370318 29.0443540670319,-111.027733995334 29.0465701930694,-111.025885356159 29.0453034453641,-111.026236234327 29.0449934538586)))","Hermosillo, Renaceres Residencial"
"MULTIPOLYGON (((-110.927653244419 29.0135396790594,-110.927644777048 29.0129118865417,-110.927636233191 29.0122784408795,-110.927631738829 29.011945247333,-110.927626288392 29.0115411005631,-110.927620582697 29.0111181111629,-110.927615026443 29.0107061849282,-110.928111554457 29.0107064513185,-110.928121863846 29.0102724611016,-110.92925993023 29.0102807332103,-110.929626411457 29.0102760661766,-110.929767495577 29.0102623611311,-110.92986679895 29.0102210755312,-110.930128200353 29.0099961555998,-110.930222308538 29.0099089377475,-110.930358207978 29.0098355198781,-110.930494060606 29.0098309975199,-110.931687666404 29.0098172525862,-110.931717056307 29.0098174285101,-110.931794302821 29.0098178900014,-110.933156199951 29.0098260515878,-110.932961705931 29.0102428656734,-110.932724845724 29.0106690969172,-110.932644517462 29.0108544451564,-110.932623694681 29.0109420521565,-110.932617668964 29.0110919151171,-110.932621503842 29.011518402542,-110.932664467763 29.0119578687442,-110.932660149987 29.0123815289621,-110.931712063487 29.0123883300204,-110.930419199432 29.0123846610143,-110.930293771703 29.0124213400163,-110.930136925616 29.0125590481982,-110.92984043549 29.012842235068,-110.930221476782 29.0131595180836,-110.930353902489 29.0132697844784,-110.93048335183 29.013413428798,-110.930539612734 29.0135075264546,-110.930584601756 29.0136115193303,-110.930612688474 29.0137254056743,-110.930407537067 29.01377012547,-110.930146709782 29.0139252404463,-110.929680798679 29.0143816154632,-110.929555561319 29.0145086665575,-110.929243670017 29.0148250737829,-110.928440953071 29.0141763179024,-110.927653244419 29.0135396790594)))","Hermosillo, Renacimiento"
